Time: 1204.80, Detected Patient: 4304, DetectionCount: 1
Time: 1207.95, Detected Patient: 4346, DetectionCount: 1
Time: 1208.13, Detected Patient: 4366, DetectionCount: 1
Time: 1215.12, Detected Patient: 4313, DetectionCount: 1
Time: 1218.55, Detected Patient: 4404, DetectionCount: 1
Time: 1219.48, Detected Patient: 4409, DetectionCount: 1
Time: 1220.86, Detected Patient: 4371, DetectionCount: 1
Time: 1222.68, Detected Patient: 4269, DetectionCount: 1
Time: 1228.45, Detected Patient: 4389, DetectionCount: 1
Time: 1230.89, Detected Patient: 4359, DetectionCount: 1
Time: 1233.19, Detected Patient: 4353, DetectionCount: 1
Time: 1242.03, Detected Patient: 4448, DetectionCount: 1
Time: 1245.35, Detected Patient: 4405, DetectionCount: 1
Time: 1249.10, Detected Patient: 4201, DetectionCount: 1
Time: 1250.88, Detected Patient: 4352, DetectionCount: 1
Time: 1257.27, Detected Patient: 4490, DetectionCount: 1
Time: 1260.17, Detected Patient: 4481, DetectionCount: 1
Time: 1262.58, Detected Patient: 4466, DetectionCount: 1
Time: 1263.88, Detected Patient: 4530, DetectionCount: 1
Time: 1264.70, Detected Patient: 4519, DetectionCount: 1
Time: 1265.69, Detected Patient: 4523, DetectionCount: 1
Time: 1267.45, Detected Patient: 4590, DetectionCount: 1
Time: 1269.98, Detected Patient: 4551, DetectionCount: 1
Time: 1277.56, Detected Patient: 4601, DetectionCount: 1
Time: 1282.68, Detected Patient: 4600, DetectionCount: 1
Time: 1285.90, Detected Patient: 4529, DetectionCount: 1
Time: 1286.38, Detected Patient: 4617, DetectionCount: 1
Time: 1295.22, Detected Patient: 4545, DetectionCount: 1
Time: 1295.51, Detected Patient: 4614, DetectionCount: 1
Time: 1315.80, Detected Patient: 4777, DetectionCount: 1
Time: 1318.96, Detected Patient: 4672, DetectionCount: 1
Time: 1321.61, Detected Patient: 4733, DetectionCount: 1
Time: 1329.02, Detected Patient: 4704, DetectionCount: 1
Time: 1330.77, Detected Patient: 4737, DetectionCount: 1
Time: 1330.85, Detected Patient: 4785, DetectionCount: 1
Time: 1333.41, Detected Patient: 4660, DetectionCount: 1
Time: 1339.77, Detected Patient: 4816, DetectionCount: 1
Time: 1340.26, Detected Patient: 4758, DetectionCount: 1
Time: 1347.54, Detected Patient: 4697, DetectionCount: 1
Time: 1350.42, Detected Patient: 4742, DetectionCount: 1
Time: 1353.91, Detected Patient: 4778, DetectionCount: 1
Time: 1353.98, Detected Patient: 4890, DetectionCount: 1
Time: 1356.14, Detected Patient: 4802, DetectionCount: 1
Time: 1357.86, Detected Patient: 4850, DetectionCount: 1
Time: 1359.46, Detected Patient: 4896, DetectionCount: 1
Time: 1360.03, Detected Patient: 4884, DetectionCount: 1
Time: 1362.23, Detected Patient: 4912, DetectionCount: 1
Time: 1364.06, Detected Patient: 4946, DetectionCount: 1
Time: 1369.71, Detected Patient: 4943, DetectionCount: 1
Time: 1370.94, Detected Patient: 4958, DetectionCount: 1
Time: 1383.53, Detected Patient: 4824, DetectionCount: 1
Time: 1384.27, Detected Patient: 4852, DetectionCount: 1
Time: 1384.73, Detected Patient: 4995, DetectionCount: 1
Time: 1388.94, Detected Patient: 4967, DetectionCount: 1
Time: 1393.10, Detected Patient: 5034, DetectionCount: 1
